MNDR ID	ncRNA Symbol	ncRNA Category	Species	Disease	DO ID	MeSH ID	References	Score
MNDR-E-CIRC-1745	hsa_circ_0046423	circRNA	Homo sapiens	Pancreatic ductal adenocarcinoma	DOID:3498	D021441	32217695	0.982118
MNDR-E-CIRC-1746	hsa_circ_0046449	circRNA	Homo sapiens	Basal cell carcinoma	DOID:2513	D002280	27097056	0.795006
MNDR-E-CIRC-1747	hsa_circ_0046449	circRNA	Homo sapiens	Cutaneous squamous cell carcinoma			27298156	0.795006
MNDR-E-CIRC-1748	hsa_circ_0046464	circRNA	Homo sapiens	Cutaneous squamous cell carcinoma			27298156	0.795006
MNDR-E-CIRC-1749	hsa_circ_0046600	circRNA	Homo sapiens	Liver cancer	DOID:3571	D008113	31807009	0.982118
MNDR-E-CIRC-1750	hsa_circ_0046701	circRNA	Homo sapiens	Glioblastoma	DOID:3068	D005909	29337055	0.999986
MNDR-E-CIRC-1751	hsa_circ_0046701	circRNA	Homo sapiens	Glioma	DOID:3070	D005910	29337055	0.999424
MNDR-E-CIRC-1752	hsa_circ_0046797	circRNA	Homo sapiens	Liver cancer	DOID:3571	D008113	31494761	0.795006
MNDR-E-CIRC-1753	hsa_circ_0046853	circRNA	Homo sapiens	Lung cancer	DOID:1324	D008175	31185953	1
MNDR-E-CIRC-1754	hsa_circ_0046853	circRNA	Homo sapiens	Breast cancer	DOID:1612	D001943	31185953	1
MNDR-E-CIRC-1755	hsa_circ_0046853	circRNA	Homo sapiens	Ovarian cancer	DOID:2394	D010051	31185953	1
MNDR-E-CIRC-1756	hsa_circ_0046906	circRNA	Homo sapiens	Breast cancer	DOID:1612	D001943	31920104	0.999986
MNDR-E-CIRC-1757	hsa_circ_0046906	circRNA	Homo sapiens	Liver cancer	DOID:3571	D008113	31368365	0.999986
MNDR-E-CIRC-1758	hsa_circ_0046906	circRNA	Homo sapiens	Colorectal cancer	DOID:9256	D015179	30797148	0.999424
MNDR-E-CIRC-1758	hsa_circ_0046906	circRNA	Homo sapiens	Colorectal cancer	DOID:9256	D015179	32256212	0.999424
MNDR-E-CIRC-1759	hsa_circ_0046945	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1760	hsa_circ_0046947	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1761	hsa_circ_0047212	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
